anime_id,score,rating_count,ranked,popularity,members,favorites
22607,5.39,118,,13854,398,1
36680,N/A,,,16911,175,0
48081,N/A,,,18998,29,0
14661,6.48,1591,,7284,4820,10
29555,5.10,172,,14150,369,0
32485,7.40,78694,,1356,131808,95
20229,N/A,,,14103,374,0
7468,6.19,4780,,4847,13238,8
42919,N/A,,,18048,105,0
39654,6.30,850,,9204,2346,0
15067,N/A,,,13514,448,2
40619,N/A,,,17890,118,0
1482,8.03,234806,,243,629994,12995
48820,N/A,,,2956,41566,222
1018,6.79,6265,,4466,16405,20
2911,6.51,1790,,7001,5274,9
32890,N/A,,,14981,295,0
8155,6.16,140,,12350,691,0
1392,7.29,999,,9251,2311,8
35106,N/A,,,17308,149,0
34899,6.59,2352,,6366,6745,37
42397,N/A,,,17851,123,0
7723,6.02,1325,,8522,3038,1
4339,6.31,513,,9851,1839,4
6707,7.17,285059,,338,507790,3080
43229,6.69,18609,,2494,55138,320
28961,7.05,7014,,4583,15294,100
11525,N/A,,,14476,337,1
42486,5.45,235,,12443,691,0
32728,6.37,455,,11727,864,0
30245,N/A,,,15477,261,0
5751,7.63,6317,,4732,14109,22
35424,7.56,1478,,5299,10607,16
35905,6.87,70146,,1092,168364,306
7079,6.32,28334,,2127,69683,82
3154,6.41,1027,,8069,3654,9
13303,5.18,177,,9957,1774,1
364,7.43,2842,,4890,12980,52
27451,5.75,153,,13903,394,0
42455,6.92,166,,13057,576,0
30018,5.56,150,,14162,367,0
41834,5.99,11968,,2444,56929,140
16782,7.93,443124,,185,732325,6137
1474,7.39,3216,,6213,7204,7
678,7.10,4038,,4931,12768,60
25267,4.96,325,,11226,1045,0
37566,N/A,,,14195,367,1
193,6.77,44607,,1791,91144,211
33291,6.62,2368,,6024,7777,33
10429,6.10,1489,,7904,3884,7
9691,5.73,246,,11375,991,2
31587,5.06,136,,13790,408,1
42387,7.28,1582,,3940,22298,9
21027,6.70,1046,,7712,4150,12
49551,N/A,,,17691,162,0
38749,6.20,1991,,4161,19300,78
1078,7.33,15138,,3414,29531,32
5549,5.36,1243,,8816,2743,1
37789,6.29,221,,11240,1048,1
7262,5.99,1738,,6778,5747,9
36657,N/A,,,16015,226,0
32892,N/A,,,14235,360,0
21765,5.56,117,,14265,356,0
15867,6.61,4461,,5241,10881,58
39701,6.45,314058,,265,599732,1331
40321,6.62,307,,8037,3890,9
38527,6.80,2435,,5852,8375,4
35369,6.69,9248,,4431,16843,2
28577,N/A,,,17803,118,0
46142,N/A,,,18786,34,0
51116,N/A,,,19380,504,2
25143,6.88,10512,,3927,22120,45
47,8.16,421471,,211,700999,10876
35889,7.39,53016,,1313,138037,563
41512,6.26,1457,,7976,3960,7
2353,6.54,1500,,8196,3471,3
34613,5.49,274,,10043,1712,0
5658,7.06,1750,,7188,4959,16
6484,5.66,780,,10289,1554,0
34688,N/A,,,16362,202,0
2503,6.16,139,,11755,854,0
38092,N/A,,,17800,118,0
19429,6.61,115083,,765,246111,962
14117,6.73,4079,,4420,16928,22
39722,5.81,143,,10679,1312,0
31995,6.24,3000,,6357,6763,13
9205,5.81,4594,,5604,9219,11
4097,5.61,177,,12751,596,0
29853,6.82,1169,,7564,4386,5
6666,6.51,1748,,8596,2965,5
2334,6.55,492,,10641,1327,2
23709,N/A,,,16592,189,0
41224,7.12,876,,6548,6633,24
3704,6.18,206,,11436,963,1
50706,N/A,,,10200,1617,5
